,жилая площадь,ремонт,этажей в доме,отделка,количество комнат,площадь кухни,мебель,санузел,высота потолков,парковка,тип дома,"корпус, строение",двор,общая площадь,официальный застройщик,запланирован снос,год постройки,тип участия,грузовой лифт,способ продажи,этаж,срок сдачи,тёплый пол,окна,вид сделки,пассажирский лифт,балкон или лоджия,техника,в доме,название новостройки,тип комнат,position,price
49,, косметический, 10,, 1, 19 м²,,,,, монолитный,,, 36.3 м²,,,,,, свободная, 4 из 10,,,, возможна ипотека,, балкон,,,,,1000000,3900000
50, 15.1 м², косметический, 15,, 1, 13.9 м²," кухня, хранение одежды", совмещенный,, открытая во дворе, кирпичный,," детская площадка, спортивная площадка", 44 м²,,, 2012,, 1, свободная, 13 из 15,,,, возможна ипотека, 1, балкон,,,,,21,6500000
51, 46.2 м², косметический, 5,, 4, 6 м²,, совмещенный,,, кирпичный,,, 64.1 м²,,,,,, свободная, 2 из 5,,,,,, лоджия,,,," изолированные, смежные",6,4900000
52,,, 24, предчистовая, 1, 7.6 м²,,,,, монолитный, дом 1,, 30.1 м², ооо спецзастройщик «тси»,,, дду по фз 214,,, 11 из 24, 1 кв. 2023 года,,,,, лоджия,,, жк «мечта»,,31,6300000
53,,, 24, предчистовая, 1, 7.6 м²,,,,, монолитный, дом 1,, 30.1 м², ооо спецзастройщик «тси»,,, дду по фз 214,,, 11 из 24, 1 кв. 2023 года,,,,, лоджия,,, жк «мечта»,,31,6300000
54, 18 м², требует ремонта, 10,, студия,,, совмещенный, 2.9 м," подземная, открытая во дворе, за шлагбаумом во дворе", кирпичный,," закрытая территория, детская площадка, спортивная площадка", 23 м²,,, 2021,, 1, свободная, 1 из 10,,," во двор, на солнечную сторону",, 1, балкон,,,,,1000000,3150000
55, 18 м², дизайнерский, 17,, 2, 21 м²," кухня, хранение одежды", совмещенный, 2.8 м," подземная, наземная многоуровневая, открытая во дворе, за шлагбаумом во дворе", монолитно-кирпичный,," закрытая территория, спортивная площадка", 55 м²,,, 2018,, 1, свободная, 3 из 17,, есть," во двор, на улицу, на солнечную сторону",, 1," балкон, лоджия",,,, изолированные,31,7590000
56,,, 25, без отделки, 3,,,,,, монолитный, дом 4.3,, 50.9 м², ооо «сз «южный парк-4»,,, дду по фз 214,,, 23 из 25, 2 кв. 2025 года,,,,,,,, жк «южный парк», изолированные,1000000,6949215
57,, евро, 10,, студия,,,,,, кирпичный,,, 18.2 м²,,,,,, свободная, 9 из 10,,,, возможна ипотека,, балкон,,,,,16,2870000
58, 28.6 м², дизайнерский, 5,, 2, 7.7 м²,, раздельный,, открытая во дворе, кирпичный,, детская площадка, 52 м²,,, 1980,, нет, свободная, 2 из 5,,," во двор, на улицу",, нет, балкон,, газ,, изолированные,6,5100000
